City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lawrenceburg,38.0373,-84.8966,7.32,84,0,1.54,US,1674026450
83,novobirilyussy,56.9514,90.6661,-27.02,93,70,0.94,RU,1674026451
84,grand gaube,-20.0064,57.6608,28.54,71,100,5.81,MU,1674026451
85,burgeo,47.6167,-57.6152,3.33,97,100,5.17,CA,1674026451
86,hobart,-42.8794,147.3294,18.92,48,20,10.29,AU,1674026411
87,okato,-39.2,173.8833,22.73,100,0,4.31,NZ,1674026451
88,jacareacanga,-6.2222,-57.7528,21.21,100,100,0.1,BR,1674026452
89,cabedelo,-6.9811,-34.8339,24.37,82,12,4.85,BR,1674026350
90,aguie,13.506,7.7786,15.22,29,0,4.2,NE,1674026452
91,cape town,-33.9258,18.4232,25.62,69,0,5.14,ZA,1674026452
92,kismayo,-0.3582,42.5454,27.5,64,100,6.69,SO,1674026453
93,sola,-13.8833,167.55,27.03,83,100,12.56,VU,1674026454
94,duartina,-22.4144,-49.4039,21.69,95,62,2.54,BR,1674026454
95,la ronge,55.1001,-105.2842,-8.86,79,100,4.12,CA,1674026454
96,mangrol,21.1167,70.1167,24.42,25,0,1.24,IN,1674026454
97,nome,64.5011,-165.4064,-18.96,71,75,5.14,US,1674026454
98,donghai,22.9459,115.642,18.47,42,26,2.18,CN,1674026455
99,dunedin,-45.8742,170.5036,15.45,89,65,2.68,NZ,1674026455
100,mezhova,48.2532,36.7347,1.83,78,100,7.77,UA,1674026455
101,salto,-31.3833,-57.9667,26.04,72,26,4.02,UY,1674026456
102,pitimbu,-7.4706,-34.8086,24.33,83,18,4.34,BR,1674026456
103,yulin,22.6333,110.15,10.49,57,92,2.9,CN,1674026457
104,mecca,21.4267,39.8261,23.66,40,18,0.75,SA,1674026272
105,fonte boa,-2.4959,-66.2662,21.29,99,100,0.9,BR,1674026457
106,yellowknife,62.456,-114.3525,-10.71,92,100,2.57,CA,1674026457
107,sao filipe,14.8961,-24.4956,24.51,59,10,5.61,CV,1674026457
108,mahebourg,-20.4081,57.7,28.47,74,75,7.72,MU,1674026441
109,saskylakh,71.9167,114.0833,-30.43,100,82,3.0,RU,1674026458
110,albany,42.6001,-73.9662,1.41,89,86,1.01,US,1674026458
111,deputatskiy,69.3,139.9,-36.03,100,100,1.02,RU,1674026458
112,yarkovo,57.4028,67.0786,-9.08,83,100,4.09,RU,1674026458
113,qaanaaq,77.484,-69.3632,-28.45,89,99,2.79,GL,1674026458
114,sangar,63.9242,127.4739,-49.66,99,92,0.05,RU,1674026459
115,bairiki,1.3292,172.9752,28.0,83,20,4.12,KI,1674026460
116,ponta do sol,32.6667,-17.1,15.4,70,30,3.95,PT,1674026460
117,cidreira,-30.1811,-50.2056,23.06,88,96,4.6,BR,1674026460
118,antalaha,-14.9003,50.2788,28.54,65,100,6.69,MG,1674026460
119,punta arenas,-53.15,-70.9167,13.06,71,75,6.17,CL,1674026460
120,mitu,1.1983,-70.1733,20.95,99,97,0.85,CO,1674026461
121,alihe,50.5667,123.7167,-20.03,86,100,1.35,CN,1674026390
122,port alfred,-33.5906,26.891,30.22,59,62,2.78,ZA,1674026461
123,luderitz,-26.6481,15.1594,19.38,83,91,0.78,NA,1674026409
124,golden,39.7555,-105.2211,-2.35,91,100,3.6,US,1674026461
125,mustasaari,63.1142,21.6822,-0.03,93,100,4.63,FI,1674026397
126,linxia,35.6003,103.2064,-5.03,47,100,1.89,CN,1674026462
127,muhos,64.808,25.9931,-0.12,90,100,5.06,FI,1674026462
128,boa vista,2.8197,-60.6733,21.99,94,100,2.57,BR,1674026463
129,mirador,-6.3708,-44.3631,21.47,94,100,0.98,BR,1674026463
130,dauriya,49.9333,116.8667,-18.89,97,100,2.66,RU,1674026464
131,aswan,24.0934,32.907,16.16,57,12,4.31,EG,1674026465
132,coolum beach,-26.5333,153.1,25.62,78,0,0.45,AU,1674026465
133,bethel,41.3712,-73.414,5.93,69,40,0.0,US,1674026465
134,fukue,32.6881,128.8419,8.2,49,20,5.14,JP,1674026466
135,walvis bay,-22.9575,14.5053,21.53,83,100,2.06,NA,1674026466
136,port blair,11.6667,92.75,29.02,54,75,4.63,IN,1674025694
137,severo-kurilsk,50.6789,156.125,-8.51,59,100,9.43,RU,1674026466
138,faanui,-16.4833,-151.75,26.78,74,0,4.78,PF,1674026466
139,lorengau,-2.0226,147.2712,28.95,70,94,1.46,PG,1674026467
140,ribeira grande,38.5167,-28.7,12.1,50,0,4.63,PT,1674026468
141,kirakira,-10.4544,161.9205,26.15,87,98,4.52,SB,1674026468
142,wagar,16.1525,36.2032,23.08,63,0,5.06,SD,1674026468
143,nishihara,26.1842,127.7558,16.6,63,75,8.23,JP,1674026468
144,dire,12.2833,-10.9667,19.41,19,5,0.39,ML,1674026468
145,sambava,-14.2667,50.1667,28.4,63,98,7.51,MG,1674026468
146,victoria,22.2855,114.1577,18.35,55,15,5.81,HK,1674026253
147,bandarbeyla,9.4942,50.8122,25.52,65,100,8.59,SO,1674026469
